date,volatility
2016-12-31,1.60128049642e-07
2017-01-01,2.23164625112e-07
2017-01-02,7.65438037289e-07
2017-01-03,5.29772255438e-07
2017-01-04,2.683156101e-06
2017-01-05,1.33285134043e-05
2017-01-06,6.91765149152e-06
2017-01-07,3.11888310472e-06
2017-01-08,1.93255046546e-06
2017-01-09,5.27979356857e-07
2017-01-10,3.90537347581e-07
2017-01-11,6.43764178017e-06
2017-01-12,2.16491672324e-06
2017-01-13,2.14423993954e-06
2017-01-14,6.51032869235e-07
2017-01-15,1.85074837008e-07
2017-01-16,4.35573434863e-07
2017-01-17,1.0849243322e-06
2017-01-18,1.02733717611e-06
2017-01-19,3.05072774288e-07
2017-01-20,2.08428149358e-07
2017-01-21,2.88373933034e-07
2017-01-22,7.0247423363e-07
2017-01-23,6.15817600325e-07
2017-01-24,4.34908442819e-07
2017-01-25,3.15990960576e-07
2017-01-26,1.68268715409e-07
2017-01-27,1.14695503218e-07
2017-01-28,4.20470836978e-08
2017-01-29,6.63955025622e-08
2017-01-30,5.39907758107e-08
2017-01-31,3.57884404826e-07
2017-02-01,1.95393712489e-07
2017-02-02,1.51051712012e-07
2017-02-03,4.46790370659e-07
2017-02-04,1.91707193769e-07
2017-02-05,1.85949565984e-07
2017-02-06,1.33922020315e-07
2017-02-07,1.36574160159e-07
2017-02-08,6.58404000687e-07
2017-02-09,3.78597843208e-06
2017-02-10,1.00617132198e-06
2017-02-11,3.15621031118e-07
2017-02-12,4.32979621712e-08
2017-02-13,4.11057573155e-07
2017-02-14,2.79863277477e-07
2017-02-15,7.08118478134e-08
2017-02-16,1.92341922018e-07
2017-02-17,1.98421179994e-07
2017-02-18,1.89483857678e-07
2017-02-19,1.12177294085e-07
2017-02-20,2.02916940624e-07
2017-02-21,3.93661361247e-07
2017-02-22,2.87186343692e-07
2017-02-23,5.81090592202e-07
2017-02-24,2.79287268899e-06
2017-02-25,6.81955119217e-07
2017-02-26,1.49168881881e-07
2017-02-27,7.50735540949e-07
2017-02-28,3.37611984454e-07
2017-03-01,2.09001748983e-07
2017-03-02,4.45147004554e-07
2017-03-03,3.88313491098e-07
2017-03-04,5.22373680261e-07
2017-03-05,2.22950527454e-07
2017-03-06,1.75684049634e-07
2017-03-07,2.38525740489e-06
2017-03-08,1.71974916957e-06
2017-03-09,4.92920239706e-07
2017-03-10,2.44260295891e-05
2017-03-11,1.17797856515e-06
2017-03-12,4.16377633799e-07
2017-03-13,6.88104714238e-07
2017-03-14,2.78044746482e-07
2017-03-15,2.56124352602e-07
2017-03-16,2.56772801006e-06
2017-03-17,3.14708979549e-06
2017-03-18,6.03449782227e-06
2017-03-19,1.6714713021e-06
2017-03-20,6.44938955712e-07
2017-03-21,8.51225382258e-07
2017-03-22,2.36899391586e-06
2017-03-23,6.80993454523e-07
2017-03-24,1.9529836221e-06
2017-03-25,1.89968070421e-06
2017-03-26,1.22671159678e-06
2017-03-27,6.5632885972e-07
2017-03-28,7.23644160354e-07
2017-03-29,5.35962274551e-07
2017-03-30,3.38799440998e-07
2017-03-31,4.54439253163e-07
2017-04-01,3.59938119628e-07
2017-04-02,5.30578521385e-07
2017-04-03,6.31410934481e-07
2017-04-04,3.23202177626e-07
2017-04-05,3.88813335218e-07
2017-04-06,3.88987387826e-07
2017-04-07,2.17581596587e-07
2017-04-08,1.3568935192e-07
2017-04-09,1.27505843397e-07
2017-04-10,8.67409001891e-08
2017-04-11,1.10350815817e-07
2017-04-12,1.78818215225e-07
2017-04-13,6.2214074356e-07
2017-04-14,3.1663538817e-07
2017-04-15,0.160145377843
2017-04-16,1.90222948604e-07
2017-04-17,2.30530590344e-07
2017-04-18,1.850373735e-07
2017-04-19,9.94353359069e-08
2017-04-20,1.38293046314e-07
2017-04-21,1.45814881191e-07
2017-04-22,1.21911329925e-07
2017-04-23,1.0314533982e-07
2017-04-24,6.8275811156e-08
2017-04-25,1.20821341466e-07
2017-04-26,1.73705099472e-07
2017-04-27,3.58394094041e-07
2017-04-28,5.50756941595e-07
2017-04-29,3.59184315326e-07
2017-04-30,5.73890450172e-07
2017-05-01,5.64773405921e-07
2017-05-02,5.83584885491e-07
2017-05-03,4.79743210728e-07
2017-05-04,2.42057183381e-06
2017-05-05,1.13734136679e-06
2017-05-06,3.19543503317e-07
2017-05-07,2.51249754075e-07
2017-05-08,6.71962708774e-07
2017-05-09,1.48804266208e-06
2017-05-10,5.57199845655e-07
2017-05-11,7.84368294396e-07
2017-05-12,2.14204385607e-06
2017-05-13,9.8797803169e-07
2017-05-14,3.77787353522e-07
2017-05-15,8.34190601124e-07
2017-05-16,5.32888054302e-07
2017-05-17,5.23498342552e-07
2017-05-18,4.81785986903e-07
2017-05-19,5.39195085348e-07
2017-05-20,2.65052377464e-07
2017-05-21,1.20387278433e-06
2017-05-22,4.21517151091e-06
2017-05-23,1.93489931371e-06
2017-05-24,1.82337766141e-06
2017-05-25,1.40673047826e-05
2017-05-26,1.00153827847e-05
2017-05-27,8.37350594388e-06
2017-05-28,3.70461129638e-06
2017-05-29,1.72184709366e-06
2017-05-30,2.38586237916e-06
2017-05-31,1.77061651165e-06
2017-06-01,1.17216996113e-06
2017-06-02,5.38755697549e-07
2017-06-03,8.10394616801e-07
2017-06-04,6.20053315729e-07
2017-06-05,9.80750284803e-07
2017-06-06,1.67699669406e-06
2017-06-07,2.00992398277e-06
2017-06-08,6.06723344465e-07
2017-06-09,3.75162326235e-07
2017-06-10,1.2206640013e-06
2017-06-11,4.35722348936e-07
2017-06-12,5.60759557244e-06
2017-06-13,1.06825403261e-06
2017-06-14,4.28032545656e-06
2017-06-15,8.61120233739e-06
2017-06-16,1.55192213617e-06
2017-06-17,7.31179106241e-07
2017-06-18,1.40964244001e-06
2017-06-19,5.82552576135e-07
2017-06-20,7.16128027103e-07
2017-06-21,2.06604481305e-06
2017-06-22,5.11091391722e-07
2017-06-23,2.2085662804e-07
2017-06-24,1.01455932069e-06
2017-06-25,9.30169346084e-07
2017-06-26,2.61830391539e-06
2017-06-27,2.57696442638e-06
2017-06-28,1.00355119735e-06
2017-06-29,6.48826528364e-07
2017-06-30,5.10868894946e-07
2017-07-01,7.6527357937e-07
2017-07-02,5.39359185878e-07
2017-07-03,4.8586182636e-07
2017-07-04,4.94736075396e-07
2017-07-05,2.56142236005e-07
2017-07-06,2.12582174393e-07
2017-07-07,4.13215408933e-07
2017-07-08,2.91771703245e-07
2017-07-09,1.58906208253e-07
2017-07-10,1.53614203653e-06
2017-07-11,1.61686745266e-06
2017-07-12,5.94864499604e-07
2017-07-13,3.86303049298e-07
2017-07-14,1.10564793943e-06
2017-07-15,2.64827129564e-06
2017-07-16,3.4075106401e-06
2017-07-17,1.63322454957e-06
2017-07-18,1.85877376452e-06
2017-07-19,1.48921318454e-06
2017-07-20,5.82854633467e-06
2017-07-21,1.84063054781e-06
2017-07-22,9.94074662203e-07
2017-07-23,9.99504436018e-07
2017-07-24,3.27774347949e-07
2017-07-25,2.70511751815e-06
2017-07-26,1.65576145071e-06
2017-07-27,6.99288287463e-07
2017-07-28,9.62171801688e-07
2017-07-29,8.9837087303e-07
2017-07-30,1.33538725008e-06
2017-07-31,8.23614404573e-07
2017-08-01,2.81827998682e-06
2017-08-02,4.13037215711e-07
2017-08-03,1.71198532789e-07
2017-08-04,1.67447768421e-06
2017-08-05,1.93340992108e-06
2017-08-06,6.32804527492e-07
2017-08-07,6.40587740117e-07
2017-08-08,7.85562625157e-07
2017-08-09,7.2849603664e-07
2017-08-10,2.58599139423e-07
2017-08-11,4.60651984663e-07
2017-08-12,2.40554229719e-06
2017-08-13,2.81075187916e-06
2017-08-14,1.32518480658e-06
2017-08-15,4.16078469177e-06
2017-08-16,2.02954105903e-06
2017-08-17,1.49239005047e-06
