date,volatility
2015-12-31,2.43767314294e-06
2016-01-01,4.39002783217e-06
2016-01-02,1.03365075388e-06
2016-01-03,3.49321930902e-06
2016-01-04,1.24869178329e-06
2016-01-05,1.34805687096e-06
2016-01-06,3.20187051972e-06
2016-01-07,6.93965456699e-06
2016-01-08,3.2902501784e-06
2016-01-09,1.59560199151e-06
2016-01-10,1.31170048053e-06
2016-01-11,2.08912567583e-06
2016-01-12,1.30153852831e-05
2016-01-13,2.73543279526e-06
2016-01-14,4.3819106779e-06
2016-01-15,0.000101269831202
2016-01-16,3.50846850905e-05
2016-01-17,7.05188977544e-06
2016-01-18,7.51862421209e-06
2016-01-19,5.64164973131e-06
2016-01-20,4.16929934406e-05
2016-01-21,1.6451676164e-05
2016-01-22,2.27239684844e-05
2016-01-23,1.23654811298e-05
2016-01-24,1.17095484723e-05
2016-01-25,7.63410287012e-06
2016-01-26,4.42220091931e-06
2016-01-27,1.11970846644e-05
2016-01-28,1.15455151242e-05
2016-01-29,8.52182704003e-06
2016-01-30,3.03306077164e-06
2016-01-31,6.66834086365e-06
2016-02-01,3.93372669827e-06
2016-02-02,1.38779417008e-06
2016-02-03,1.93704532304e-06
2016-02-04,1.21923012842e-05
2016-02-05,3.8807791823e-06
2016-02-06,2.83569342814e-06
2016-02-07,1.38902888571e-06
2016-02-08,1.09381518712e-06
2016-02-09,1.12662994281e-06
2016-02-10,3.26278879354e-06
2016-02-11,3.73909590814e-06
2016-02-12,1.40545926568e-06
2016-02-13,2.26379705811e-06
2016-02-14,3.7665132237e-06
2016-02-15,7.75195511822e-06
2016-02-16,1.05255032047e-06
2016-02-17,3.35962359918e-06
2016-02-18,2.77931063558e-06
2016-02-19,1.80378106729e-06
2016-02-20,6.19074722224e-06
2016-02-21,1.2083032583e-05
2016-02-22,1.86281413586e-06
2016-02-23,1.15917415527e-05
2016-02-24,7.46617373145e-06
2016-02-25,2.20320064205e-06
2016-02-26,1.85824663924e-06
2016-02-27,3.2668557527e-06
2016-02-28,1.88592963961e-06
2016-02-29,4.41772617561e-06
2016-03-01,5.36582960846e-06
2016-03-02,1.1741265574e-05
2016-03-03,4.46221176091e-06
2016-03-04,7.99679096513e-06
2016-03-05,4.16171322359e-05
2016-03-06,5.11313657046e-06
2016-03-07,2.69390314421e-06
2016-03-08,1.70263580994e-06
2016-03-09,1.43122966593e-06
2016-03-10,1.031390258e-06
2016-03-11,2.05052157184e-06
2016-03-12,1.93938370303e-06
2016-03-13,1.16388222175e-06
2016-03-14,8.82123881219e-07
2016-03-15,7.70442639668e-07
2016-03-16,6.41514446142e-07
2016-03-17,5.58787469903e-07
2016-03-18,2.3946597841e-06
2016-03-19,1.80080110619e-06
2016-03-20,1.58020307568e-06
2016-03-21,1.18934204095e-06
2016-03-22,7.81241693757e-07
2016-03-23,5.93718148983e-07
2016-03-24,8.69193382503e-07
2016-03-25,5.24612374683e-07
2016-03-26,3.80665624571e-07
2016-03-27,2.30125750604e-06
2016-03-28,1.29293258702e-06
2016-03-29,2.95548602373e-06
2016-03-30,9.68089430415e-07
2016-03-31,6.15608276927e-07
2016-04-01,7.99585088141e-07
2016-04-02,2.06687019313e-07
2016-04-03,3.99259570795e-07
2016-04-04,4.2749921923e-07
2016-04-05,3.45554195249e-07
2016-04-06,4.14206853222e-07
2016-04-07,4.01472241688e-07
2016-04-08,1.47007630116e-06
2016-04-09,3.86637163052e-07
2016-04-10,2.75032362933e-07
2016-04-11,8.36307791904e-07
2016-04-12,8.53030422882e-07
2016-04-13,6.61312826392e-07
2016-04-14,3.35040429985e-07
2016-04-15,4.08506793369e-07
2016-04-16,5.20851518223e-07
2016-04-17,4.93075604235e-07
2016-04-18,8.36010821287e-07
2016-04-19,9.31421206178e-07
2016-04-20,1.57724704468e-06
2016-04-21,2.52511890042e-06
2016-04-22,1.27378734353e-06
