time,low,high,open,close,volumefrom,volumeto
1461614400,529900,532000,529900,532000,159.22,84413312.74
1461618000,532000,533000,532000,533000,20.72,11031374.2
1461621600,532200,534900,533000,534900,27.37,14619136.11
1461625200,531700,534900,534900,532900,38.85,20705154.52
1461628800,531200,533000,532900,532300,88.82,47273464.53
1461632400,531600,534100,532300,534100,97.27,51840305.12
1461636000,533100,534800,534100,534100,77.81,41549510.23
1461639600,534000,534500,534100,534400,37.63,20104776.06
1461643200,533800,534400,534400,533900,27.6,14734305.88
1461646800,533000,533900,533900,533000,46.42,24779371.13
1461650400,532700,533800,533000,533300,52.42,27960907.38
1461654000,533300,533900,533300,533800,65.07,34734370.28
1461657600,533800,533900,533800,533900,47.12,25157852.36
1461661200,533100,533900,533900,533100,89.87,47954103.99
1461664800,533100,533500,533100,533500,16.48,8788949.52
1461668400,533500,533600,533500,533600,61.23,32674750.17
1461672000,533100,533600,533600,533400,17.72,9453738.85
1461675600,532500,533600,533400,533600,42.63,22731900.08
1461679200,533600,534000,533600,534000,40.47,21607277.8
1461682800,533600,534000,534000,534000,45.92,24523300.9
1461686400,534000,534400,534000,534400,41.25,22030032.9
1461690000,534300,534500,534400,534500,5.69,3042853.55
1461693600,534500,534900,534500,534900,1.75,937828.78
1461697200,534300,535000,534900,535000,4.12,2200630
1461700800,535000,535000,535000,535000,0.01989,10639.01
1461704400,535000,535000,535000,535000,14.15,7568645
1461708000,534900,535000,535000,534900,2.68,1434900
1461711600,534900,535500,534900,535500,20.94,11207190.99
1461715200,535400,535900,535500,535400,16.11,8627761.52
1461718800,534700,536400,535400,534700,39.23,21022502.29
1461722400,534100,534800,534700,534800,6.72,3590761.98
1461726000,534500,534800,534800,534600,96.35,51506837.73
1461729600,533600,535000,534600,534600,73.05,39034779.84
1461733200,534500,536300,534600,536100,173.86,93085099.29
1461736800,534600,536100,536100,536100,24.22,12977348.17
1461740400,536100,537000,536100,536900,100.59,53947706.48
1461744000,536900,537000,536900,537000,17.03,9147601
1461747600,536800,537400,537000,537400,42.97,23076213.88
1461751200,536000,537400,537400,536900,12.02,6449042.12
1461754800,536900,537900,536900,537500,20.09,10797085.14
1461758400,537100,537900,537500,537200,28.22,15171861.34
1461762000,528000,537200,537200,528100,265.38,141131561.5
1461765600,522900,528600,528100,524000,104.75,55025373.49
1461769200,523000,525300,524000,525300,26.72,13994041.27
1461772800,525300,525300,525300,525300,0.6752,354672.79
1461776400,525300,527100,525300,527100,30.15,15881771.79
1461780000,526900,529900,527100,529900,53.2,28118227.32
1461783600,526600,529900,529900,529000,4.22,2229558.81
1461787200,529000,529000,529000,529000,0.558,295174.59
1461790800,523200,529000,529000,523200,64.44,33782958
1461794400,523000,523600,523200,523300,21.21,11098864.56
1461798000,520200,525000,523300,520200,67.06,35084435.81
1461801600,513600,520200,520200,513600,122.65,63411020.86
1461805200,506000,513600,513600,510500,142.98,72971844.82
1461808800,510300,513400,510500,513300,70.47,36076465.26
1461812400,511600,513400,513300,512800,25.49,13068854.72
1461816000,508100,512800,512800,510300,63.32,32290231.39
1461819600,508100,510400,510300,508100,17.59,8950595.76
1461823200,505100,510400,508100,505100,92.32,46960706.88
1461826800,505100,507900,505100,507900,77.03,39028592.72
1461830400,508200,509000,508200,508300,25.85,13141515.24
1461834000,508000,508400,508300,508000,80.07,40688133.98
1461837600,508000,508700,508000,508700,89.15,45295380.63
1461841200,508000,512000,508700,511900,78.38,39908487.56
1461844800,510000,512000,511900,510600,40.94,20956806.61
1461848400,510600,513800,510600,513100,32.63,16750211.25
1461852000,513000,514900,513100,513000,37.11,19054654.65
1461855600,513000,513100,513000,513100,8.27,4241392
1461859200,513100,514500,513100,513900,13.04,6705600
1461862800,513900,514400,513900,514400,1.33,685000
1461866400,514400,514400,514400,514400,0,0
1461870000,514400,514400,514400,514400,0.03888,20000
1461873600,514400,514500,514400,514500,8.75,4503869.91
1461877200,514500,517900,514500,517900,55.98,28932789.8
1461880800,516000,520000,517900,516000,68.66,35558664.45
1461884400,516000,516400,516000,516400,5.83,3010000
1461888000,516300,516400,516400,516300,3.51,1809864.54
1461891600,516300,516400,516300,516300,99.55,51404675.46
1461895200,515000,516300,516300,515100,47.79,24652875.38
1461898800,514000,515900,515100,514400,18.51,9532123.95
1461902400,511700,514400,514400,514000,100.58,51636193.77
1461906000,512600,515400,514000,513700,14.36,7379338.17
1461909600,512800,514300,513700,514300,7.34,3767547.87
1461913200,513000,514300,514300,513600,33.43,17161603.89
1461916800,512900,514400,513800,514400,41.34,21252411.07
1461920400,514100,514900,514400,514200,125.66,64644421.3
1461924000,514100,515200,514200,515200,41.5,21344108.16
1461927600,514100,516000,515200,516000,52.03,26804412.6
1461931200,516000,517400,516000,517000,33.64,17372722
1461934800,515700,517000,517000,515700,10.64,5491742.78
1461938400,515700,517400,515700,517200,29.02,15008766.53
1461942000,517000,519400,517200,519000,31.24,16195071.83
1461945600,518000,519000,519000,518400,6.91,3584725.65
1461949200,518100,519900,518400,519400,83.29,43248646.55
1461952800,519300,519400,519400,519400,45.93,23855032.81
1461956400,519300,519800,519400,519300,7.33,3808504.15
1461960000,519300,519900,519300,519900,6.79,3526470.35
1461963600,519900,520000,519900,520000,5.64,2931359.55
1461967200,520000,521400,520000,520000,15.1,7868925.79
1461970800,519600,521400,520000,521400,29.17,15187099.84
1461974400,521400,524400,521400,524400,12.68,6623499.1
1461978000,523000,524400,524400,523000,12,6281416.78
1461981600,523000,523200,523000,523200,30.24,15817110.58
